id,bookname_ws,bookyear_i,bookmonth_txt_en_split,author_txt_en_split,subject_txt_en_split,booknumber_i
,UDB-020-1324-25-20-01-MAGH.pdf,1324,magh,Swami Saradananda,Sri Sri Ramakrishnaleela Prosongo,1
,UDB-020-1324-25-20-01-MAGH.pdf,1324,magh,Sister Nivedita,Acharya Sri Vivekananda,1
,UDB-020-1324-25-20-01-MAGH.pdf,1324,magh,Sri Basanta Kumar Chattopadhyay,Maya O Bigyanbad,1
,UDB-020-1324-25-20-01-MAGH.pdf,1324,magh,Dr. Sri Soroshilal Sarkar,Swapnototto,1
,UDB-020-1324-25-20-01-MAGH.pdf,1324,magh,Sri Kumudbondhu Sen,Sadhusongo,1
,UDB-020-1324-25-20-01-MAGH.pdf,1324,magh,Swami Amritananda,Vedanta-Poribhasha,1
,UDB-020-1324-25-20-01-MAGH.pdf,1324,magh,,Sotkotha,1
,UDB-020-1324-25-20-01-MAGH.pdf,1324,magh,,Mothura Onchole Jalaplabon,1
,UDB-020-1324-25-20-02-FALGOON.pdf,1324,falgoon,Sister Nivedita,Acharya Sri Vivekananda,2
,UDB-020-1324-25-20-02-FALGOON.pdf,1324,falgoon,Swami Sudhhananda,Vedanta-Prochar,2
,UDB-020-1324-25-20-02-FALGOON.pdf,1324,falgoon,Sri Upendranath Dutta,Rup-kotha,2
,UDB-020-1324-25-20-02-FALGOON.pdf,1324,falgoon,Dr. Sri Soroshilal Sarkar,Swapno-totto,2
,UDB-020-1324-25-20-02-FALGOON.pdf,1324,falgoon,,Sangbad O Montobbo,2
,UDB-020-1324-25-20-03-CHAITRA.pdf,1324,chaitra,Swami Saradananda,Sri Sri Ramakrishnaleela Prosongo,3
,UDB-020-1324-25-20-03-CHAITRA.pdf,1324,chaitra,Sister Nivedita,Acharya Sri Vivekananda,3
,UDB-020-1324-25-20-03-CHAITRA.pdf,1324,chaitra,Sri Basanta Kumar Chattopadhyay,Tolstoyer Adorsho,3
,UDB-020-1324-25-20-03-CHAITRA.pdf,1324,chaitra,Sri Radhakomol Mukhopadhyay,Vivekananda Smorone,3
,UDB-020-1324-25-20-03-CHAITRA.pdf,1324,chaitra,Dr. Sri Soroshilal Sarkar,Swapnototto,3
,UDB-020-1324-25-20-03-CHAITRA.pdf,1324,chaitra,Swami Amritananda,Ogyan ba Maya,3
,UDB-020-1324-25-20-03-CHAITRA.pdf,1324,chaitra,Sri Phonindranath Ghosh,Bani-Ahwan,3
,UDB-020-1324-25-20-03-CHAITRA.pdf,1324,chaitra,Swami Basudebananda,Bharatiyo Sikhha,3
,UDB-020-1324-25-20-03-CHAITRA.pdf,1324,chaitra,,Sotkotha,3
,UDB-020-1324-25-20-03-CHAITRA.pdf,1324,chaitra,,Sri Sri Ramakrishna Paramhongshodeber Troishititomo Janmotshob,3
,UDB-020-1324-25-20-03-CHAITRA.pdf,1324,chaitra,,Sangbad O Montobbo,3
,UDB-020-1324-25-20-04-BAISHAKH.pdf,1325,baishakh,Swami Saradananda,Sri Sri Ramakrishnaleela Prosongo,4
,UDB-020-1324-25-20-04-BAISHAKH.pdf,1325,baishakh,Swami Vivekananda,Sarbobhoumik Dhormer Adarsho,4
,UDB-020-1324-25-20-04-BAISHAKH.pdf,1325,baishakh,Sri Kartickchandra Mitra,Sikhguru,4
,UDB-020-1324-25-20-04-BAISHAKH.pdf,1325,baishakh,Dr. Sri Soroshilal Sarkar,Swapnototto,4
,UDB-020-1324-25-20-04-BAISHAKH.pdf,1325,baishakh,Swami Mukteswarananada,Diner Prarthona,4
,UDB-020-1324-25-20-04-BAISHAKH.pdf,1325,baishakh,Swami Basudebananda,Bharatiyo Sikhha,4
,UDB-020-1324-25-20-04-BAISHAKH.pdf,1325,baishakh,,Sikhha,4
,UDB-020-1324-25-20-04-BAISHAKH.pdf,1325,baishakh,Srimoti Saralabala Dashi,Nobo Borsho,4
,UDB-020-1324-25-20-04-BAISHAKH.pdf,1325,baishakh,,Shoksangbad,4
