id,bookname_ws,bookyear_i,bookmonth_txt_en_split,author_txt_en_split,subject_txt_en_split,booknumber_i
,UDB-019-1323-24-19-01-MAGH.pdf,1323,magh,Sister Nivedita,Acharya Sri Vivekananda,1
,UDB-019-1323-24-19-01-MAGH.pdf,1323,magh,,Golposholpo,1
,UDB-019-1323-24-19-01-MAGH.pdf,1323,magh,Sri Girijashankar Roychowdhury,Niche Rochito Gronthadir Porichoy,1
,UDB-019-1323-24-19-01-MAGH.pdf,1323,magh,Sri Gokuldas Dey,Budhhabani,1
,UDB-019-1323-24-19-01-MAGH.pdf,1323,magh,Sri Kanailal Pal,Europio Dorshoner Itihaas,1
,UDB-019-1323-24-19-01-MAGH.pdf,1323,magh,Brahmachari Sadhuchaitanya,Dharmmo O Mokkho,1
,UDB-019-1323-24-19-01-MAGH.pdf,1323,magh,Sri Upendranath Dutta,Tottogyan,1
,UDB-019-1323-24-19-01-MAGH.pdf,1323,magh,,Sotkotha,1
,UDB-019-1323-24-19-01-MAGH.pdf,1323,magh,,Swami Vivekander Potro,1
,UDB-019-1323-24-19-01-MAGH.pdf,1323,magh,,Monisha,1
,UDB-019-1323-24-19-01-MAGH.pdf,1323,magh,,Sri Ramakrishna Missioner Banya Nibaron Karjo,1
,UDB-019-1323-24-19-01-MAGH.pdf,1323,magh,,Durbhikkho Bhandare Prapti Swikar,1
,UDB-019-1323-24-19-02-FALGOON.pdf,1323,falgoon,Swami Saradananda,Sri Sri Ramakrishnaleela Prosongo,2
,UDB-019-1323-24-19-02-FALGOON.pdf,1323,falgoon,Sister Nivedita,Acharya Sri Vivekananda,2
,UDB-019-1323-24-19-02-FALGOON.pdf,1323,falgoon,Sri Nogendranath Roy,Tontre Srigurutotto,2
,UDB-019-1323-24-19-02-FALGOON.pdf,1323,falgoon,Sri Girijashankar Roychowdhury,Niche(Frienrich Nietzsche),2
,UDB-019-1323-24-19-02-FALGOON.pdf,1323,falgoon,,Rochito Gronthadir Srenibibhag,2
,UDB-019-1323-24-19-02-FALGOON.pdf,1323,falgoon,,Sister Nivedita,2
,UDB-019-1323-24-19-02-FALGOON.pdf,1323,falgoon,Sri Kanailal Pal,Europio Dorshoner Itihaas,2
,UDB-019-1323-24-19-02-FALGOON.pdf,1323,falgoon,,Sotkotha,2
,UDB-019-1323-24-19-02-FALGOON.pdf,1323,falgoon,Sri Mayamoy Mitra,Sophol Sadhona,2
,UDB-019-1323-24-19-02-FALGOON.pdf,1323,falgoon,,Swami Vivekander Ponchoponchashot,2
,UDB-019-1323-24-19-02-FALGOON.pdf,1323,falgoon,,Janmotsab,2
,UDB-019-1323-24-19-02-FALGOON.pdf,1323,falgoon,,Songbad O Montobbo,2
,UDB-019-1323-24-19-03-CHAITRA.pdf,1323,chaitra,Sri Phonindranath Ghosh ,Pothik,3
,UDB-019-1323-24-19-03-CHAITRA.pdf,1323,chaitra,Sister Nivedita,Acharya Sri Vivekananda,3
,UDB-019-1323-24-19-03-CHAITRA.pdf,1323,chaitra,Brahmachari Bimalchaitanya,Satyalabh,3
,UDB-019-1323-24-19-03-CHAITRA.pdf,1323,chaitra,Sri Neelkantha Chowdhury,Amadiger Adorsho,3
,UDB-019-1323-24-19-03-CHAITRA.pdf,1323,chaitra,Sri Bhubon Mohan Howladar,Swami Vivekananda,3
,UDB-019-1323-24-19-03-CHAITRA.pdf,1323,chaitra,Swami Vivekananda,Samajik Sommelon Abhibhason,3
,UDB-019-1323-24-19-03-CHAITRA.pdf,1323,chaitra,,Swami Vivekanander Potro,3
,UDB-019-1323-24-19-03-CHAITRA.pdf,1323,chaitra,Sri Upendranath Dutta,Kaliyo-Domon,3
,UDB-019-1323-24-19-03-CHAITRA.pdf,1323,chaitra,,Sotkotha,3
,UDB-019-1323-24-19-03-CHAITRA.pdf,1323,chaitra,,Somalochona,3
,UDB-019-1323-24-19-03-CHAITRA.pdf,1323,chaitra,,Songbad O Montobbo,3
,UDB-019-1323-24-19-03-CHAITRA.pdf,1323,chaitra,,Sister Nivedita Balikavidyalaya,3
